"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"2436","43571",39095,95,"Ohio","OH",39,"Lucas County"
"2437","43565",39173,173,"Ohio","OH",39,"Wood County"
"2438","44438",39155,155,"Ohio","OH",39,"Trumbull County"
"2439","44446",39155,155,"Ohio","OH",39,"Trumbull County"
"2440","44484",39155,155,"Ohio","OH",39,"Trumbull County"
"2441","44622",39157,157,"Ohio","OH",39,"Tuscarawas County"
"2442","44666",39151,151,"Ohio","OH",39,"Stark County"
"2443","44647",39151,151,"Ohio","OH",39,"Stark County"
"2444","44452",39099,99,"Ohio","OH",39,"Mahoning County"
"2445","44511",39099,99,"Ohio","OH",39,"Mahoning County"
"2446","45875",39137,137,"Ohio","OH",39,"Putnam County"
"2447","44906",39139,139,"Ohio","OH",39,"Richland County"
"2448","44907",39139,139,"Ohio","OH",39,"Richland County"
"2449","45890",39063,63,"Ohio","OH",39,"Hancock County"
"2450","45843",39065,65,"Ohio","OH",39,"Hardin County"
"2451","44118",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2452","44122",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2453","44081",39085,85,"Ohio","OH",39,"Lake County"
"2454","44142",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2455","44144",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2456","44134",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2457","44035",39093,93,"Ohio","OH",39,"Lorain County"
"2458","44039",39093,93,"Ohio","OH",39,"Lorain County"
"2459","43907",39067,67,"Ohio","OH",39,"Harrison County"
"2460","44055",39093,93,"Ohio","OH",39,"Lorain County"
"2461","43950",39013,13,"Ohio","OH",39,"Belmont County"
"2462","44061",39085,85,"Ohio","OH",39,"Lake County"
"2463","43902",39013,13,"Ohio","OH",39,"Belmont County"
"2464","43023",39089,89,"Ohio","OH",39,"Licking County"
"2465","43001",39089,89,"Ohio","OH",39,"Licking County"
"2466","44820",39033,33,"Ohio","OH",39,"Crawford County"
"2467","44703",39151,151,"Ohio","OH",39,"Stark County"
"2468","44266",39133,133,"Ohio","OH",39,"Portage County"
"2469","44286",39153,153,"Ohio","OH",39,"Summit County"
"2470","44254",39103,103,"Ohio","OH",39,"Medina County"
"2471","44406",39099,99,"Ohio","OH",39,"Mahoning County"
"2472","44235",39103,103,"Ohio","OH",39,"Medina County"
"2473","44251",39103,103,"Ohio","OH",39,"Medina County"
"2474","45302",39149,149,"Ohio","OH",39,"Shelby County"
"2475","45254",39061,61,"Ohio","OH",39,"Hamilton County"
"2476","45321",39135,135,"Ohio","OH",39,"Preble County"
"2477","45247",39061,61,"Ohio","OH",39,"Hamilton County"
"2478","45311",39135,135,"Ohio","OH",39,"Preble County"
"2479","45359",39109,109,"Ohio","OH",39,"Miami County"
"2480","45663",39145,145,"Ohio","OH",39,"Scioto County"
